,Team,Season,Record,Season Result,PJ Positive
1211,Warriors,2016-17,67-15,LEAGUE CHAMPION,True
1212,Celtics,2016-17,53-29,N/A,True
1213,Pistons,2016-17,37-45,N/A,False
1214,Warriors,2017-18,58-24,LEAGUE CHAMPION,True
1215,Suns,2017-18,21-61,N/A,False
1216,Grizzlies,2017-18,22-60,N/A,False
1217,Pistons,2017-18,39-43,N/A,False
1218,Rockets,2017-18,65-17,N/A,True
1219,Trail Blazers,2017-18,49-33,N/A,False
1220,Kings,2017-18,27-55,N/A,False
1221,Raptors,2017-18,59-23,N/A,True
1222,Wizards,2017-18,43-39,N/A,False
1223,Heat,2017-18,44-38,N/A,False
1224,Timberwolves,2017-18,47-35,N/A,False
1225,Celtics,2017-18,55-27,N/A,True
1226,Hawks,2017-18,24-58,N/A,False
1227,Bulls,2017-18,27-55,N/A,False
1228,Cavaliers,2017-18,50-32,FINALS APPEARANCE,False
1229,Pelicans,2017-18,48-34,N/A,False
1230,Magic,2017-18,25-57,N/A,False
1231,76ers,2017-18,52-30,N/A,False
1232,Clippers,2017-18,42-40,N/A,False
1233,Thunder,2017-18,48-34,N/A,False
1234,Lakers,2017-18,35-47,N/A,False
1235,Bucks,2017-18,44-38,N/A,False
1236,Jazz,2017-18,48-34,N/A,False
1237,Spurs,2017-18,47-35,N/A,False
1238,Knicks,2017-18,29-53,N/A,False
1239,Mavericks,2017-18,24-58,N/A,False
1240,Pacers,2017-18,48-34,N/A,False
1241,Hornets,2017-18,36-46,N/A,False
1242,Nets,2017-18,28-54,N/A,False
1243,Nuggets,2017-18,46-36,N/A,False
1244,Spurs,2018-19,48-34,N/A,False
1245,Bulls,2018-19,22-60,N/A,False
1246,Cavaliers,2018-19,19-63,N/A,False
1247,76ers,2018-19,51-31,N/A,False
1248,Clippers,2018-19,48-34,N/A,False
1249,Magic,2018-19,42-40,N/A,False
1250,Rockets,2018-19,53-29,N/A,True
1251,Pacers,2018-19,48-34,N/A,False
1252,Pistons,2018-19,41-41,N/A,False
1253,Thunder,2018-19,49-33,N/A,False
1254,Nets,2018-19,42-40,N/A,False
1255,Warriors,2018-19,57-25,FINALS APPEARANCE,True
1256,Mavericks,2018-19,33-49,N/A,False
1257,Timberwolves,2018-19,36-46,N/A,False
1258,Raptors,2018-19,58-24,LEAGUE CHAMPION,True
1259,Celtics,2018-19,49-33,N/A,False
1260,Pelicans,2018-19,33-49,N/A,False
1261,Kings,2018-19,39-43,N/A,False
1262,Bucks,2018-19,60-22,N/A,True
1263,Suns,2018-19,19-63,N/A,False
1264,Hawks,2018-19,29-53,N/A,False
1265,Heat,2018-19,39-43,N/A,False
1266,Knicks,2018-19,17-65,N/A,False
1267,Trail Blazers,2018-19,53-29,N/A,True
1268,Hornets,2018-19,39-43,N/A,False
1269,Wizards,2018-19,32-50,N/A,False
1270,Lakers,2018-19,37-45,N/A,False
1271,Jazz,2018-19,50-32,N/A,True
1272,Grizzlies,2018-19,33-49,N/A,False
1273,Nuggets,2018-19,54-28,N/A,True
1274,Thunder,2019-20,44-28,N/A,False
1275,Kings,2019-20,31-41,N/A,False
1276,Wizards,2019-20,25-47,N/A,False
1277,Trail Blazers,2019-20,35-39,N/A,False
1278,Hawks,2019-20,20-47,N/A,False
1279,Clippers,2019-20,49-23,N/A,True
1280,Pelicans,2019-20,30-42,N/A,False
1281,Pistons,2019-20,20-46,N/A,False
1282,76ers,2019-20,43-30,N/A,False
1283,Celtics,2019-20,48-24,N/A,True
1284,Knicks,2019-20,21-45,N/A,False
1285,Raptors,2019-20,53-19,N/A,True
1286,Pacers,2019-20,45-28,N/A,False
1287,Magic,2019-20,33-40,N/A,False
1288,Nets,2019-20,35-37,N/A,False
1289,Mavericks,2019-20,43-32,N/A,False
1290,Timberwolves,2019-20,19-45,N/A,False
1291,Heat,2019-20,44-29,FINALS APPEARANCE,False
1292,Jazz,2019-20,44-28,N/A,False
1293,Suns,2019-20,34-39,N/A,False
1294,Lakers,2019-20,52-19,LEAGUE CHAMPION,True
1295,Hornets,2019-20,23-42,N/A,False
1296,Spurs,2019-20,32-39,N/A,False
1297,Nuggets,2019-20,46-27,N/A,True
1298,Rockets,2019-20,44-28,N/A,False
1299,Bulls,2019-20,22-43,N/A,False
1300,Bucks,2019-20,56-17,N/A,True
1301,Warriors,2019-20,15-50,N/A,False
1302,Cavaliers,2019-20,19-46,N/A,False
1303,Grizzlies,2019-20,34-39,N/A,False
1304,Hawks,2020-21,41-31,N/A,False
1305,Pistons,2020-21,20-52,N/A,False
1306,Mavericks,2020-21,42-30,N/A,False
1307,Pacers,2020-21,34-38,N/A,False
1308,Nets,2020-21,48-24,N/A,True
1309,Warriors,2020-21,39-33,N/A,False
1310,Trail Blazers,2020-21,42-30,N/A,False
1311,Hornets,2020-21,33-39,N/A,False
1312,Kings,2020-21,31-41,N/A,False
1313,Thunder,2020-21,22-50,N/A,False
1314,Heat,2020-21,40-32,N/A,False
1315,Suns,2020-21,51-21,FINALS APPEARANCE,True
1316,Grizzlies,2020-21,38-34,N/A,False
1317,Spurs,2020-21,33-39,N/A,False
1318,Bulls,2020-21,31-41,N/A,False
1319,Pelicans,2020-21,31-41,N/A,False
1320,Cavaliers,2020-21,22-50,N/A,False
1321,Rockets,2020-21,17-55,N/A,False
1322,Celtics,2020-21,36-36,N/A,False
1323,Knicks,2020-21,41-31,N/A,False
1324,Jazz,2020-21,52-20,N/A,True
1325,Bucks,2020-21,46-26,LEAGUE CHAMPION,False
1326,Raptors,2020-21,27-45,N/A,False
1327,Magic,2020-21,21-51,N/A,False
1328,Timberwolves,2020-21,23-49,N/A,False
1329,Nuggets,2020-21,47-25,N/A,True
1330,Lakers,2020-21,42-30,N/A,False
1331,76ers,2020-21,49-23,N/A,True
1332,Wizards,2020-21,34-38,N/A,False
1333,Clippers,2020-21,47-25,N/A,True
1334,Pelicans,2021-22,36-46,N/A,False
1335,Kings,2021-22,30-52,N/A,False
1336,Jazz,2021-22,49-33,N/A,False
1337,Suns,2021-22,64-18,N/A,True
1338,Celtics,2021-22,51-31,FINALS APPEARANCE,False
1339,Bucks,2021-22,51-31,N/A,True
1340,Nets,2021-22,44-38,N/A,False
1341,Lakers,2021-22,33-49,N/A,False
1342,Nuggets,2021-22,48-34,N/A,False
1343,Warriors,2021-22,53-29,LEAGUE CHAMPION,True
1344,Heat,2021-22,53-29,N/A,True
1345,Raptors,2021-22,48-34,N/A,False
1346,Thunder,2021-22,24-58,N/A,False
1347,Grizzlies,2021-22,56-26,N/A,True
1348,Bulls,2021-22,46-36,N/A,False
1349,Cavaliers,2021-22,44-38,N/A,False
1350,Spurs,2021-22,34-48,N/A,False
1351,Timberwolves,2021-22,46-36,N/A,False
1352,Wizards,2021-22,35-47,N/A,False
1353,Knicks,2021-22,37-45,N/A,False
1354,Clippers,2021-22,42-40,N/A,False
1355,Hornets,2021-22,43-39,N/A,False
1356,Magic,2021-22,22-60,N/A,False
1357,Rockets,2021-22,20-62,N/A,False
1358,Hawks,2021-22,43-39,N/A,False
1359,Pistons,2021-22,23-59,N/A,False
1360,Trail Blazers,2021-22,27-55,N/A,False
1361,Mavericks,2021-22,52-30,N/A,True
1362,76ers,2021-22,51-31,N/A,False
1363,Pacers,2021-22,25-57,N/A,False
1364,Grizzlies,2022-23,51-31,N/A,False
1365,Raptors,2022-23,41-41,N/A,False
1366,Suns,2022-23,45-37,N/A,False
1367,Timberwolves,2022-23,42-40,N/A,False
1368,Lakers,2022-23,43-39,N/A,False
1369,Jazz,2022-23,37-45,N/A,False
1370,Wizards,2022-23,35-47,N/A,False
1371,Thunder,2022-23,40-42,N/A,False
1372,Bulls,2022-23,40-42,N/A,False
1373,Cavaliers,2022-23,51-31,N/A,False
1374,Clippers,2022-23,44-38,N/A,False
1375,76ers,2022-23,54-28,N/A,True
1376,Rockets,2022-23,22-60,N/A,False
1377,Hawks,2022-23,41-41,N/A,False
1378,Pistons,2022-23,17-65,N/A,False
1379,Pelicans,2022-23,42-40,N/A,False
1380,Warriors,2022-23,44-38,N/A,False
1381,Kings,2022-23,48-34,N/A,False
1382,Celtics,2022-23,57-25,N/A,True
1383,Nuggets,2022-23,53-29,LEAGUE CHAMPION,True
1384,Spurs,2022-23,22-60,N/A,False
1385,Trail Blazers,2022-23,33-49,N/A,False
1386,Bucks,2022-23,58-24,N/A,True
1387,Hornets,2022-23,27-55,N/A,False
1388,Nets,2022-23,45-37,N/A,False
1389,Magic,2022-23,34-48,N/A,False
1390,Heat,2022-23,44-38,FINALS APPEARANCE,False
1391,Pacers,2022-23,35-47,N/A,False
1392,Knicks,2022-23,47-35,N/A,False
1393,Mavericks,2022-23,38-44,N/A,False
