,Team,Season,Record,Season Result,PJ Positive,Playoffs Results
948,Trail Blazers,2008-09,54-28,N/A,False,FR Exit
949,Heat,2008-09,43-39,N/A,False,FR Exit
950,Spurs,2008-09,54-28,N/A,True,FR Exit
951,Bobcats,2008-09,35-47,N/A,False,Not Qualified
952,Magic,2008-09,59-23,FINALS APPEARANCE,True,Runner Up
953,Lakers,2008-09,65-17,LEAGUE CHAMPION,True,Champ
954,Hornets,2008-09,49-33,N/A,False,FR Exit
955,Knicks,2008-09,32-50,N/A,False,Not Qualified
956,Celtics,2008-09,62-20,N/A,True,CSF Exit
957,Clippers,2008-09,19-63,N/A,False,Not Qualified
958,Thunder,2008-09,23-59,N/A,False,Not Qualified
959,Kings,2008-09,17-65,N/A,False,Not Qualified
960,76ers,2008-09,41-41,N/A,False,FR Exit
961,Bulls,2008-09,41-41,N/A,False,FR Exit
962,Raptors,2008-09,33-49,N/A,False,Not Qualified
963,Cavaliers,2008-09,66-16,N/A,True,CF Exit
964,Nets,2008-09,34-48,N/A,False,Not Qualified
965,Bucks,2008-09,34-48,N/A,False,Not Qualified
966,Suns,2008-09,46-36,N/A,False,Not Qualified
967,Timberwolves,2008-09,24-58,N/A,False,Not Qualified
968,Pacers,2008-09,36-46,N/A,False,Not Qualified
969,Mavericks,2008-09,50-32,N/A,False,CSF Exit
970,Rockets,2008-09,53-29,N/A,False,CSF Exit
971,Hawks,2008-09,47-35,N/A,False,CSF Exit
972,Wizards,2008-09,19-63,N/A,False,Not Qualified
973,Jazz,2008-09,48-34,N/A,False,FR Exit
974,Clippers,2009-10,29-53,N/A,False,Not Qualified
975,Lakers,2009-10,57-25,LEAGUE CHAMPION,True,Champ
976,Pistons,2009-10,27-55,N/A,False,Not Qualified
977,Rockets,2009-10,42-40,N/A,False,Not Qualified
978,Warriors,2009-10,26-56,N/A,False,Not Qualified
979,Heat,2009-10,47-35,N/A,False,FR Exit
980,Spurs,2009-10,50-32,N/A,False,CSF Exit
981,Bobcats,2009-10,44-38,N/A,False,FR Exit
982,Jazz,2009-10,53-29,N/A,True,CSF Exit
983,Timberwolves,2009-10,15-67,N/A,False,Not Qualified
984,Celtics,2009-10,50-32,FINALS APPEARANCE,False,Runner Up
985,76ers,2009-10,27-55,N/A,False,Not Qualified
986,Pacers,2009-10,32-50,N/A,False,Not Qualified
987,Thunder,2009-10,50-32,N/A,False,FR Exit
988,Wizards,2009-10,26-56,N/A,False,Not Qualified
989,Kings,2009-10,25-57,N/A,False,Not Qualified
990,Bulls,2009-10,41-41,N/A,False,FR Exit
991,Hornets,2009-10,37-45,N/A,False,Not Qualified
992,Cavaliers,2009-10,61-21,N/A,True,CSF Exit
993,Nets,2009-10,12-70,N/A,False,Not Qualified
994,Hawks,2009-10,53-29,N/A,False,CSF Exit
995,Bucks,2009-10,46-36,N/A,False,FR Exit
996,Suns,2009-10,54-28,N/A,False,CF Exit
997,Mavericks,2009-10,55-27,N/A,True,FR Exit
998,Raptors,2009-10,40-42,N/A,False,Not Qualified
999,Grizzlies,2009-10,40-42,N/A,False,Not Qualified
1000,Nuggets,2009-10,53-29,N/A,True,FR Exit
1001,Knicks,2009-10,29-53,N/A,False,Not Qualified
1002,Magic,2009-10,59-23,N/A,True,CF Exit
1003,Trail Blazers,2009-10,50-32,N/A,False,FR Exit
1004,Bucks,2010-11,35-47,N/A,False,Not Qualified
1005,Rockets,2010-11,43-39,N/A,False,Not Qualified
1006,Trail Blazers,2010-11,48-34,N/A,False,FR Exit
1007,Heat,2010-11,58-24,FINALS APPEARANCE,True,Runner Up
1008,Spurs,2010-11,61-21,N/A,True,FR Exit
1009,Magic,2010-11,52-30,N/A,False,FR Exit
1010,Jazz,2010-11,39-43,N/A,False,Not Qualified
1011,Timberwolves,2010-11,17-65,N/A,False,Not Qualified
1012,Knicks,2010-11,42-40,N/A,False,FR Exit
1013,Celtics,2010-11,56-26,N/A,True,CSF Exit
1014,76ers,2010-11,41-41,N/A,False,FR Exit
1015,Wizards,2010-11,23-59,N/A,False,Not Qualified
1016,Pacers,2010-11,37-45,N/A,False,FR Exit
1017,Warriors,2010-11,36-46,N/A,False,Not Qualified
1018,Lakers,2010-11,57-25,N/A,True,CSF Exit
1019,Kings,2010-11,24-58,N/A,False,Not Qualified
1020,Hornets,2010-11,46-36,N/A,False,FR Exit
1021,Bulls,2010-11,62-20,N/A,True,CF Exit
1022,Cavaliers,2010-11,19-63,N/A,False,Not Qualified
1023,Hawks,2010-11,44-38,N/A,False,CSF Exit
1024,Nets,2010-11,24-58,N/A,False,Not Qualified
1025,Clippers,2010-11,32-50,N/A,False,Not Qualified
1026,Suns,2010-11,40-42,N/A,False,Not Qualified
1027,Mavericks,2010-11,57-25,LEAGUE CHAMPION,True,Champ
1028,Raptors,2010-11,22-60,N/A,False,Not Qualified
1029,Thunder,2010-11,55-27,N/A,True,CF Exit
1030,Nuggets,2010-11,50-32,N/A,False,FR Exit
1031,Grizzlies,2010-11,46-36,N/A,False,CSF Exit
1032,Bobcats,2010-11,34-48,N/A,False,Not Qualified
1033,Pistons,2010-11,30-52,N/A,False,Not Qualified
1034,76ers,2011-12,35-31,N/A,False,CSF Exit
1035,Celtics,2011-12,39-27,N/A,False,CF Exit
1036,Mavericks,2011-12,36-30,N/A,False,FR Exit
1037,Heat,2011-12,46-20,LEAGUE CHAMPION,True,Champ
1038,Wizards,2011-12,20-46,N/A,False,Not Qualified
1039,Rockets,2011-12,34-32,N/A,False,Not Qualified
1040,Jazz,2011-12,36-30,N/A,False,FR Exit
1041,Cavaliers,2011-12,21-45,N/A,False,Not Qualified
1042,Bobcats,2011-12,7-59,N/A,False,Not Qualified
1043,Nets,2011-12,22-44,N/A,False,Not Qualified
1044,Thunder,2011-12,47-19,FINALS APPEARANCE,True,Runner Up
1045,Hornets,2011-12,21-45,N/A,False,Not Qualified
1046,Timberwolves,2011-12,26-40,N/A,False,Not Qualified
1047,Bulls,2011-12,50-16,N/A,True,FR Exit
1048,Hawks,2011-12,40-26,N/A,False,FR Exit
1049,Grizzlies,2011-12,41-25,N/A,False,FR Exit
1050,Kings,2011-12,22-44,N/A,False,Not Qualified
1051,Knicks,2011-12,36-30,N/A,False,FR Exit
1052,Magic,2011-12,37-29,N/A,False,FR Exit
1053,Bucks,2011-12,31-35,N/A,False,Not Qualified
1054,Trail Blazers,2011-12,28-38,N/A,False,Not Qualified
1055,Clippers,2011-12,40-26,N/A,False,CSF Exit
1056,Pistons,2011-12,25-41,N/A,False,Not Qualified
1057,Suns,2011-12,33-33,N/A,False,Not Qualified
1058,Lakers,2011-12,41-25,N/A,False,CSF Exit
1059,Pacers,2011-12,42-24,N/A,False,CSF Exit
1060,Spurs,2011-12,50-16,N/A,True,CF Exit
1061,Warriors,2011-12,23-43,N/A,False,Not Qualified
1062,Raptors,2011-12,23-43,N/A,False,Not Qualified
1063,Nuggets,2011-12,38-28,N/A,False,FR Exit
1064,Kings,2012-13,28-54,N/A,False,Not Qualified
1065,Celtics,2012-13,41-40,N/A,False,FR Exit
1066,Bobcats,2012-13,21-61,N/A,False,Not Qualified
1067,Lakers,2012-13,45-37,N/A,False,FR Exit
1068,Heat,2012-13,66-16,LEAGUE CHAMPION,True,Champ
1069,76ers,2012-13,34-48,N/A,False,Not Qualified
1070,Rockets,2012-13,45-37,N/A,False,FR Exit
1071,Clippers,2012-13,56-26,N/A,True,FR Exit
1072,Hornets,2012-13,27-55,N/A,False,Not Qualified
1073,Wizards,2012-13,29-53,N/A,False,Not Qualified
1074,Bulls,2012-13,45-37,N/A,False,CSF Exit
1075,Pacers,2012-13,49-32,N/A,True,CF Exit
1076,Trail Blazers,2012-13,33-49,N/A,False,Not Qualified
1077,Thunder,2012-13,60-22,N/A,True,CSF Exit
1078,Bucks,2012-13,38-44,N/A,False,FR Exit
1079,Nuggets,2012-13,57-25,N/A,True,FR Exit
1080,Spurs,2012-13,58-24,FINALS APPEARANCE,True,Runner Up
1081,Knicks,2012-13,54-28,N/A,False,CSF Exit
1082,Warriors,2012-13,47-35,N/A,False,CSF Exit
1083,Grizzlies,2012-13,56-26,N/A,True,CF Exit
1084,Mavericks,2012-13,41-41,N/A,False,Not Qualified
1085,Raptors,2012-13,34-48,N/A,False,Not Qualified
1086,Pistons,2012-13,29-53,N/A,False,Not Qualified
1087,Jazz,2012-13,43-39,N/A,False,Not Qualified
1088,Cavaliers,2012-13,24-58,N/A,False,Not Qualified
1089,Magic,2012-13,20-62,N/A,False,Not Qualified
1090,Nets,2012-13,49-33,N/A,False,FR Exit
1091,Timberwolves,2012-13,31-51,N/A,False,Not Qualified
1092,Hawks,2012-13,44-38,N/A,False,FR Exit
1093,Suns,2012-13,25-57,N/A,False,Not Qualified
1094,Cavaliers,2013-14,33-49,N/A,False,Not Qualified
1095,Kings,2013-14,28-54,N/A,False,Not Qualified
1096,Clippers,2013-14,57-25,N/A,True,CSF Exit
1097,Raptors,2013-14,48-34,N/A,False,FR Exit
1098,Bulls,2013-14,48-34,N/A,False,FR Exit
1099,Bucks,2013-14,15-67,N/A,False,Not Qualified
1100,Nuggets,2013-14,36-46,N/A,False,Not Qualified
1101,Lakers,2013-14,27-55,N/A,False,Not Qualified
1102,Mavericks,2013-14,49-33,N/A,False,FR Exit
1103,Hawks,2013-14,38-44,N/A,False,FR Exit
1104,Rockets,2013-14,54-28,N/A,True,FR Exit
1105,Nets,2013-14,44-38,N/A,False,CSF Exit
1106,Bobcats,2013-14,43-39,N/A,False,FR Exit
1107,Suns,2013-14,48-34,N/A,False,Not Qualified
1108,Magic,2013-14,23-59,N/A,False,Not Qualified
1109,Thunder,2013-14,59-23,N/A,True,CF Exit
1110,Trail Blazers,2013-14,54-28,N/A,True,CSF Exit
1111,Pelicans,2013-14,34-48,N/A,False,Not Qualified
1112,76ers,2013-14,19-63,N/A,False,Not Qualified
1113,Jazz,2013-14,25-57,N/A,False,Not Qualified
1114,Celtics,2013-14,25-57,N/A,False,Not Qualified
1115,Wizards,2013-14,44-38,N/A,False,CSF Exit
1116,Grizzlies,2013-14,50-32,N/A,True,FR Exit
1117,Warriors,2013-14,51-31,N/A,False,FR Exit
1118,Heat,2013-14,54-28,FINALS APPEARANCE,True,Runner Up
1119,Timberwolves,2013-14,40-42,N/A,False,Not Qualified
1120,Pacers,2013-14,56-26,N/A,True,CF Exit
1121,Pistons,2013-14,29-53,N/A,False,Not Qualified
1122,Spurs,2013-14,62-20,LEAGUE CHAMPION,True,Champ
1123,Knicks,2013-14,37-45,N/A,False,Not Qualified
1124,Nuggets,2014-15,30-52,N/A,False,Not Qualified
1125,Thunder,2014-15,45-37,N/A,False,Not Qualified
1126,Nets,2014-15,38-44,N/A,False,FR Exit
1127,Magic,2014-15,25-57,N/A,False,Not Qualified
1128,Hawks,2014-15,60-22,N/A,True,CF Exit
1129,Mavericks,2014-15,50-32,N/A,False,FR Exit
1130,Bucks,2014-15,41-41,N/A,False,FR Exit
1131,Pelicans,2014-15,45-37,N/A,False,FR Exit
1132,Spurs,2014-15,55-27,N/A,False,FR Exit
1133,Jazz,2014-15,38-44,N/A,False,Not Qualified
1134,Warriors,2014-15,67-15,LEAGUE CHAMPION,True,Champ
1135,Suns,2014-15,39-43,N/A,False,Not Qualified
1136,Grizzlies,2014-15,55-27,N/A,True,CSF Exit
1137,Raptors,2014-15,49-33,N/A,False,FR Exit
1138,Wizards,2014-15,46-36,N/A,False,CSF Exit
1139,Cavaliers,2014-15,53-29,FINALS APPEARANCE,True,Runner Up
1140,Pistons,2014-15,32-50,N/A,False,Not Qualified
1141,Hornets,2014-15,33-49,N/A,False,Not Qualified
1142,76ers,2014-15,18-64,N/A,False,Not Qualified
1143,Trail Blazers,2014-15,51-31,N/A,True,FR Exit
1144,Knicks,2014-15,17-65,N/A,False,Not Qualified
1145,Heat,2014-15,37-45,N/A,False,Not Qualified
1146,Rockets,2014-15,56-26,N/A,True,CF Exit
1147,Clippers,2014-15,56-26,N/A,True,CSF Exit
1148,Bulls,2014-15,50-32,N/A,False,CSF Exit
1149,Celtics,2014-15,40-42,N/A,False,FR Exit
1150,Kings,2014-15,29-53,N/A,False,Not Qualified
1151,Timberwolves,2014-15,16-66,N/A,False,Not Qualified
1152,Lakers,2014-15,21-61,N/A,False,Not Qualified
1153,Pacers,2014-15,38-44,N/A,False,Not Qualified
1154,Jazz,2015-16,40-42,N/A,False,Not Qualified
1155,Kings,2015-16,33-49,N/A,False,Not Qualified
1156,Knicks,2015-16,32-50,N/A,False,Not Qualified
1157,Clippers,2015-16,53-29,N/A,True,FR Exit
1158,Pacers,2015-16,45-37,N/A,False,FR Exit
1159,Grizzlies,2015-16,42-40,N/A,False,FR Exit
1160,Wizards,2015-16,41-41,N/A,False,Not Qualified
1161,Pelicans,2015-16,30-52,N/A,False,Not Qualified
1162,Thunder,2015-16,55-27,N/A,True,CF Exit
1163,Celtics,2015-16,48-34,N/A,False,FR Exit
1164,Cavaliers,2015-16,57-25,LEAGUE CHAMPION,True,Champ
1165,Suns,2015-16,23-59,N/A,False,Not Qualified
1166,Timberwolves,2015-16,29-53,N/A,False,Not Qualified
1167,Heat,2015-16,48-34,N/A,False,CSF Exit
1168,Spurs,2015-16,67-15,N/A,True,CSF Exit
1169,Magic,2015-16,35-47,N/A,False,Not Qualified
1170,Hornets,2015-16,48-34,N/A,False,FR Exit
1171,Bulls,2015-16,42-40,N/A,False,Not Qualified
1172,Lakers,2015-16,17-65,N/A,False,Not Qualified
1173,Nets,2015-16,21-61,N/A,False,Not Qualified
1174,Hawks,2015-16,48-34,N/A,False,CSF Exit
1175,Nuggets,2015-16,33-49,N/A,False,Not Qualified
1176,Bucks,2015-16,33-49,N/A,False,Not Qualified
1177,76ers,2015-16,10-72,N/A,False,Not Qualified
1178,Mavericks,2015-16,42-40,N/A,False,FR Exit
1179,Pistons,2015-16,44-38,N/A,False,FR Exit
1180,Rockets,2015-16,41-41,N/A,False,FR Exit
1181,Raptors,2015-16,56-26,N/A,True,CF Exit
1182,Warriors,2015-16,73-9,FINALS APPEARANCE,True,Runner Up
1183,Trail Blazers,2015-16,44-38,N/A,False,CSF Exit
1184,Timberwolves,2016-17,31-51,N/A,False,Not Qualified
1185,Mavericks,2016-17,33-49,N/A,False,Not Qualified
1186,Magic,2016-17,29-53,N/A,False,Not Qualified
1187,Heat,2016-17,41-41,N/A,False,Not Qualified
1188,Hornets,2016-17,36-46,N/A,False,Not Qualified
1189,Raptors,2016-17,51-31,N/A,False,CSF Exit
1190,Bulls,2016-17,41-41,N/A,False,FR Exit
1191,Grizzlies,2016-17,43-39,N/A,False,FR Exit
1192,Lakers,2016-17,26-56,N/A,False,Not Qualified
1193,Nuggets,2016-17,40-42,N/A,False,Not Qualified
1194,Trail Blazers,2016-17,41-41,N/A,False,FR Exit
1195,Wizards,2016-17,49-33,N/A,True,CSF Exit
1196,Spurs,2016-17,61-21,N/A,True,CF Exit
1197,Thunder,2016-17,47-35,N/A,False,FR Exit
1198,Bucks,2016-17,42-40,N/A,False,FR Exit
1199,Cavaliers,2016-17,51-31,FINALS APPEARANCE,True,Runner Up
1200,76ers,2016-17,28-54,N/A,False,Not Qualified
1201,Clippers,2016-17,51-31,N/A,False,FR Exit
1202,Jazz,2016-17,51-31,N/A,False,CSF Exit
1203,Pacers,2016-17,42-40,N/A,False,FR Exit
1204,Rockets,2016-17,55-27,N/A,True,CSF Exit
1205,Hawks,2016-17,43-39,N/A,False,FR Exit
1206,Knicks,2016-17,31-51,N/A,False,Not Qualified
1207,Nets,2016-17,20-62,N/A,False,Not Qualified
1208,Suns,2016-17,24-58,N/A,False,Not Qualified
1209,Kings,2016-17,32-50,N/A,False,Not Qualified
1210,Pelicans,2016-17,34-48,N/A,False,Not Qualified
1211,Warriors,2016-17,67-15,LEAGUE CHAMPION,True,Champ
1212,Celtics,2016-17,53-29,N/A,True,CF Exit
1213,Pistons,2016-17,37-45,N/A,False,Not Qualified
1214,Warriors,2017-18,58-24,LEAGUE CHAMPION,True,Champ
1215,Suns,2017-18,21-61,N/A,False,Not Qualified
1216,Grizzlies,2017-18,22-60,N/A,False,Not Qualified
1217,Pistons,2017-18,39-43,N/A,False,Not Qualified
1218,Rockets,2017-18,65-17,N/A,True,CF Exit
1219,Trail Blazers,2017-18,49-33,N/A,False,FR Exit
1220,Kings,2017-18,27-55,N/A,False,Not Qualified
1221,Raptors,2017-18,59-23,N/A,True,CSF Exit
1222,Wizards,2017-18,43-39,N/A,False,FR Exit
1223,Heat,2017-18,44-38,N/A,False,FR Exit
1224,Timberwolves,2017-18,47-35,N/A,False,FR Exit
1225,Celtics,2017-18,55-27,N/A,True,CF Exit
1226,Hawks,2017-18,24-58,N/A,False,Not Qualified
1227,Bulls,2017-18,27-55,N/A,False,Not Qualified
1228,Cavaliers,2017-18,50-32,FINALS APPEARANCE,False,Runner Up
1229,Pelicans,2017-18,48-34,N/A,False,CSF Exit
1230,Magic,2017-18,25-57,N/A,False,Not Qualified
1231,76ers,2017-18,52-30,N/A,False,CSF Exit
1232,Clippers,2017-18,42-40,N/A,False,Not Qualified
1233,Thunder,2017-18,48-34,N/A,False,FR Exit
1234,Lakers,2017-18,35-47,N/A,False,Not Qualified
1235,Bucks,2017-18,44-38,N/A,False,FR Exit
1236,Jazz,2017-18,48-34,N/A,False,CSF Exit
1237,Spurs,2017-18,47-35,N/A,False,FR Exit
1238,Knicks,2017-18,29-53,N/A,False,Not Qualified
1239,Mavericks,2017-18,24-58,N/A,False,Not Qualified
1240,Pacers,2017-18,48-34,N/A,False,FR Exit
1241,Hornets,2017-18,36-46,N/A,False,Not Qualified
1242,Nets,2017-18,28-54,N/A,False,Not Qualified
1243,Nuggets,2017-18,46-36,N/A,False,Not Qualified
1244,Spurs,2018-19,48-34,N/A,False,FR Exit
1245,Bulls,2018-19,22-60,N/A,False,Not Qualified
1246,Cavaliers,2018-19,19-63,N/A,False,Not Qualified
1247,76ers,2018-19,51-31,N/A,False,CSF Exit
1248,Clippers,2018-19,48-34,N/A,False,FR Exit
1249,Magic,2018-19,42-40,N/A,False,FR Exit
1250,Rockets,2018-19,53-29,N/A,True,CSF Exit
1251,Pacers,2018-19,48-34,N/A,False,FR Exit
1252,Pistons,2018-19,41-41,N/A,False,FR Exit
1253,Thunder,2018-19,49-33,N/A,False,FR Exit
1254,Nets,2018-19,42-40,N/A,False,FR Exit
1255,Warriors,2018-19,57-25,FINALS APPEARANCE,True,Runner Up
1256,Mavericks,2018-19,33-49,N/A,False,Not Qualified
1257,Timberwolves,2018-19,36-46,N/A,False,Not Qualified
1258,Raptors,2018-19,58-24,LEAGUE CHAMPION,True,Champ
1259,Celtics,2018-19,49-33,N/A,False,CSF Exit
1260,Pelicans,2018-19,33-49,N/A,False,Not Qualified
1261,Kings,2018-19,39-43,N/A,False,Not Qualified
1262,Bucks,2018-19,60-22,N/A,True,CF Exit
1263,Suns,2018-19,19-63,N/A,False,Not Qualified
1264,Hawks,2018-19,29-53,N/A,False,Not Qualified
1265,Heat,2018-19,39-43,N/A,False,Not Qualified
1266,Knicks,2018-19,17-65,N/A,False,Not Qualified
1267,Trail Blazers,2018-19,53-29,N/A,True,CF Exit
1268,Hornets,2018-19,39-43,N/A,False,Not Qualified
1269,Wizards,2018-19,32-50,N/A,False,Not Qualified
1270,Lakers,2018-19,37-45,N/A,False,Not Qualified
1271,Jazz,2018-19,50-32,N/A,True,FR Exit
1272,Grizzlies,2018-19,33-49,N/A,False,Not Qualified
1273,Nuggets,2018-19,54-28,N/A,True,CSF Exit
1274,Thunder,2019-20,44-28,N/A,False,FR Exit
1275,Kings,2019-20,31-41,N/A,False,Not Qualified
1276,Wizards,2019-20,25-47,N/A,False,Not Qualified
1277,Trail Blazers,2019-20,35-39,N/A,False,FR Exit
1278,Hawks,2019-20,20-47,N/A,False,Not Qualified
1279,Clippers,2019-20,49-23,N/A,True,CSF Exit
1280,Pelicans,2019-20,30-42,N/A,False,Not Qualified
1281,Pistons,2019-20,20-46,N/A,False,Not Qualified
1282,76ers,2019-20,43-30,N/A,False,FR Exit
1283,Celtics,2019-20,48-24,N/A,True,CF Exit
1284,Knicks,2019-20,21-45,N/A,False,Not Qualified
1285,Raptors,2019-20,53-19,N/A,True,CSF Exit
1286,Pacers,2019-20,45-28,N/A,False,FR Exit
1287,Magic,2019-20,33-40,N/A,False,FR Exit
1288,Nets,2019-20,35-37,N/A,False,FR Exit
1289,Mavericks,2019-20,43-32,N/A,False,FR Exit
1290,Timberwolves,2019-20,19-45,N/A,False,Not Qualified
1291,Heat,2019-20,44-29,FINALS APPEARANCE,False,Runner Up
1292,Jazz,2019-20,44-28,N/A,False,FR Exit
1293,Suns,2019-20,34-39,N/A,False,Not Qualified
1294,Lakers,2019-20,52-19,LEAGUE CHAMPION,True,Champ
1295,Hornets,2019-20,23-42,N/A,False,Not Qualified
1296,Spurs,2019-20,32-39,N/A,False,Not Qualified
1297,Nuggets,2019-20,46-27,N/A,True,CF Exit
1298,Rockets,2019-20,44-28,N/A,False,CSF Exit
1299,Bulls,2019-20,22-43,N/A,False,Not Qualified
1300,Bucks,2019-20,56-17,N/A,True,CSF Exit
1301,Warriors,2019-20,15-50,N/A,False,Not Qualified
1302,Cavaliers,2019-20,19-46,N/A,False,Not Qualified
1303,Grizzlies,2019-20,34-39,N/A,False,Not Qualified
1304,Hawks,2020-21,41-31,N/A,False,CF Exit
1305,Pistons,2020-21,20-52,N/A,False,Not Qualified
1306,Mavericks,2020-21,42-30,N/A,False,FR Exit
1307,Pacers,2020-21,34-38,N/A,False,Not Qualified
1308,Nets,2020-21,48-24,N/A,True,CSF Exit
1309,Warriors,2020-21,39-33,N/A,False,Not Qualified
1310,Trail Blazers,2020-21,42-30,N/A,False,FR Exit
1311,Hornets,2020-21,33-39,N/A,False,Not Qualified
1312,Kings,2020-21,31-41,N/A,False,Not Qualified
1313,Thunder,2020-21,22-50,N/A,False,Not Qualified
1314,Heat,2020-21,40-32,N/A,False,FR Exit
1315,Suns,2020-21,51-21,FINALS APPEARANCE,True,Runner Up
1316,Grizzlies,2020-21,38-34,N/A,False,FR Exit
1317,Spurs,2020-21,33-39,N/A,False,Not Qualified
1318,Bulls,2020-21,31-41,N/A,False,Not Qualified
1319,Pelicans,2020-21,31-41,N/A,False,Not Qualified
1320,Cavaliers,2020-21,22-50,N/A,False,Not Qualified
1321,Rockets,2020-21,17-55,N/A,False,Not Qualified
1322,Celtics,2020-21,36-36,N/A,False,FR Exit
1323,Knicks,2020-21,41-31,N/A,False,FR Exit
1324,Jazz,2020-21,52-20,N/A,True,CSF Exit
1325,Bucks,2020-21,46-26,LEAGUE CHAMPION,False,Champ
1326,Raptors,2020-21,27-45,N/A,False,Not Qualified
1327,Magic,2020-21,21-51,N/A,False,Not Qualified
1328,Timberwolves,2020-21,23-49,N/A,False,Not Qualified
1329,Nuggets,2020-21,47-25,N/A,True,CSF Exit
1330,Lakers,2020-21,42-30,N/A,False,FR Exit
1331,76ers,2020-21,49-23,N/A,True,CSF Exit
1332,Wizards,2020-21,34-38,N/A,False,FR Exit
1333,Clippers,2020-21,47-25,N/A,True,CF Exit
1334,Pelicans,2021-22,36-46,N/A,False,FR Exit
1335,Kings,2021-22,30-52,N/A,False,Not Qualified
1336,Jazz,2021-22,49-33,N/A,False,FR Exit
1337,Suns,2021-22,64-18,N/A,True,CSF Exit
1338,Celtics,2021-22,51-31,FINALS APPEARANCE,False,Runner Up
1339,Bucks,2021-22,51-31,N/A,True,CSF Exit
1340,Nets,2021-22,44-38,N/A,False,FR Exit
1341,Lakers,2021-22,33-49,N/A,False,Not Qualified
1342,Nuggets,2021-22,48-34,N/A,False,FR Exit
1343,Warriors,2021-22,53-29,LEAGUE CHAMPION,True,Champ
1344,Heat,2021-22,53-29,N/A,True,CF Exit
1345,Raptors,2021-22,48-34,N/A,False,FR Exit
1346,Thunder,2021-22,24-58,N/A,False,Not Qualified
1347,Grizzlies,2021-22,56-26,N/A,True,CSF Exit
1348,Bulls,2021-22,46-36,N/A,False,FR Exit
1349,Cavaliers,2021-22,44-38,N/A,False,Not Qualified
1350,Spurs,2021-22,34-48,N/A,False,Not Qualified
1351,Timberwolves,2021-22,46-36,N/A,False,FR Exit
1352,Wizards,2021-22,35-47,N/A,False,Not Qualified
1353,Knicks,2021-22,37-45,N/A,False,Not Qualified
1354,Clippers,2021-22,42-40,N/A,False,Not Qualified
1355,Hornets,2021-22,43-39,N/A,False,Not Qualified
1356,Magic,2021-22,22-60,N/A,False,Not Qualified
1357,Rockets,2021-22,20-62,N/A,False,Not Qualified
1358,Hawks,2021-22,43-39,N/A,False,FR Exit
1359,Pistons,2021-22,23-59,N/A,False,Not Qualified
1360,Trail Blazers,2021-22,27-55,N/A,False,Not Qualified
1361,Mavericks,2021-22,52-30,N/A,True,CF Exit
1362,76ers,2021-22,51-31,N/A,False,CSF Exit
1363,Pacers,2021-22,25-57,N/A,False,Not Qualified
1364,Grizzlies,2022-23,51-31,N/A,False,FR Exit
1365,Raptors,2022-23,41-41,N/A,False,Not Qualified
1366,Suns,2022-23,45-37,N/A,False,CSF Exit
1367,Timberwolves,2022-23,42-40,N/A,False,FR Exit
1368,Lakers,2022-23,43-39,N/A,False,CF Exit
1369,Jazz,2022-23,37-45,N/A,False,Not Qualified
1370,Wizards,2022-23,35-47,N/A,False,Not Qualified
1371,Thunder,2022-23,40-42,N/A,False,Not Qualified
1372,Bulls,2022-23,40-42,N/A,False,Not Qualified
1373,Cavaliers,2022-23,51-31,N/A,False,FR Exit
1374,Clippers,2022-23,44-38,N/A,False,FR Exit
1375,76ers,2022-23,54-28,N/A,True,CSF Exit
1376,Rockets,2022-23,22-60,N/A,False,Not Qualified
1377,Hawks,2022-23,41-41,N/A,False,FR Exit
1378,Pistons,2022-23,17-65,N/A,False,Not Qualified
1379,Pelicans,2022-23,42-40,N/A,False,Not Qualified
1380,Warriors,2022-23,44-38,N/A,False,CSF Exit
1381,Kings,2022-23,48-34,N/A,False,FR Exit
1382,Celtics,2022-23,57-25,N/A,True,CF Exit
1383,Nuggets,2022-23,53-29,LEAGUE CHAMPION,True,Champ
1384,Spurs,2022-23,22-60,N/A,False,Not Qualified
1385,Trail Blazers,2022-23,33-49,N/A,False,Not Qualified
1386,Bucks,2022-23,58-24,N/A,True,FR Exit
1387,Hornets,2022-23,27-55,N/A,False,Not Qualified
1388,Nets,2022-23,45-37,N/A,False,FR Exit
1389,Magic,2022-23,34-48,N/A,False,Not Qualified
1390,Heat,2022-23,44-38,FINALS APPEARANCE,False,Runner Up
1391,Pacers,2022-23,35-47,N/A,False,Not Qualified
1392,Knicks,2022-23,47-35,N/A,False,CSF Exit
1393,Mavericks,2022-23,38-44,N/A,False,Not Qualified
